0	ITSC1	N	-1.98356005903998	43.3241469483965	0	0	0
1	ITSC2	N	-1.98339379440506	43.3239363970748	0	0	0
2	ITSC3	N	-1.98316595027572	43.3235690504684	0	0	0
3	ITSC4	N	-1.98301815948912	43.3232375406485	0	0	0
4	ITSC5	N	-1.98295042204526	43.3230359459546	0	0	0
5	ITSC6	N	-1.98290115844973	43.3229329084082	0	0	0
6	ITSC7	N	-1.98279031535978	43.3227537122592	0	0	0
7	ITSC8	N	-1.98397264165257	43.3226865135671	0	0	0
8	ITSC9	N	-1.98403909824294	43.3228049624118	0	0	0
9	ITSC10	N	-1.98510442349634	43.3225406473502	0	0	0
10	ITSC11	N	-1.98389746540579	43.3224555286958	0	0	0
11	ITSC12	N	-1.98493815886142	43.3221956920656	0	0	0
12	ITSC13	N	-1.98538153122122	43.3221016130116	0	0	0
13	ITSC14	N	-1.98564016509776	43.3224062494203	0	0	0
14	ITSC15	N	-1.98597885231705	43.3228856006763	0	0	0
15	ITSC16	N	-1.98531379377736	43.3230692763235	0	0	0
16	ITSC17	N	-1.98522758248518	43.32281840213	0	0	0
17	ITSC18	N	-1.98411299363624	43.3230692763235	0	0	0
18	ITSC19	N	-1.98415609928233	43.3233470286864	0	0	0
19	ITSC20	N	-1.98580027178325	43.3219448142647	0	0	0
20	ITSC21	N	-1.98615743285086	43.3217745751669	0	0	0
21	ITSC22	N	-1.98652075186792	43.3217611352179	0	0	0
22	ITSC23	N	-1.9869764401266	43.3226392056432	0	0	0
23	ITSC24	N	-1.98719196835705	43.3230692763235	0	0	0
24	ITSC25	N	-1.9875244976269	43.3235531021996	0	0	0
25	ITSC26	N	-1.98727817964924	43.3236382193162	0	0	0
26	ITSC27	N	-1.9870811252671	43.3237054169557	0	0	0
27	ITSC28	N	-1.9870503355199	43.3232932702636	0	0	0
28	ITSC29	N	-1.9870072298738	43.3231364745922	0	0	0
29	ITSC30	N	-1.9868286493400	43.3231947130317	0	0	0
30	ITSC31	N	-1.98679785959279	43.322661605233	0	0	0
31	ITSC32	N	-1.98661312110954	43.3227019244737	0	0	0
32	ITSC33	N	-1.98650227801959	43.3225227276434	0	0	0
33	ITSC34	N	-1.98640375082853	43.3222808110841	0	0	0
34	ITSC35	N	-1.98608353745756	43.322348010225	0	0	0
35	ITSC36	N	-1.98624364414304	43.3225854465942	0	0	0
36	ITSC37	N	-1.98636680313188	43.322787042783	0	0	0
37	ITSC38	N	-1.98631753953634	43.3233470286864	0	0	0
38	ITSC39	N	-1.98557242765391	43.3235620619017	0	0	0
39	ITSC40	N	-1.98545542661452	43.3233335890851	0	0	0
40	ITSC41	N	-1.98562169124944	43.3238263725194	0	0	0
41	ITSC42	N	-1.98576948203604	43.3240369242224	0	0	0
42	ITSC43	N	-1.98459947164213	43.3245207423921	0	0	0
43	ITSC44	N	-1.98438394341167	43.3241847579609	0	0	0
44	ITSC45	N	-1.98429773211949	43.3239204489024	0	0	0
45	ITSC46	N	-1.98422999467563	43.3236292596253	0	0	0
46	ITSC47	N	-1.98453789214771	43.3235396626439	0	0	0
47	ITSC48	N	-1.98504900195137	43.3234231863705	0	0	0
48	ITSC49	N	-1.98519679273797	43.323656138694	0	0	0
49	ITSC50	N	-1.98471647268152	43.3238174128562	0	0	0
50	ITSC51	N	-1.98572021844051	43.3225092878598	0	0	0
51	GU San Sebastián	R	-1.986419	43.321919
52	Parvisa	W	-1.986659	43.3221
53	Ijentea Kafea	R	-1.986164	43.321936
54	Hortz Klinika Clínica Dental	W	-1.985978	43.321981
55	Floristeria Villaflores	P	-1.985933	43.321993
56	SN - Sin Número	R	-1.986005	43.322182
57	LANGER Art & Antiques	P	-1.985826	43.322051
58	Viajes Eroski	W	-1.985701	43.322072
59	Skate Shop	P	-1.98562	43.322085
60	Heladería Oiartzun	R	-1.985524	43.322187
61	Intí Artesanías	P	-1.985544	43.322235
62	Luckia Casino Kursaal	W	-1.98562	43.322284
63	Antzoki Zaharra	W	-1.98566	43.322382
64	Kiosko Boulevard	P	-1.984655	43.322129
65	Belle Époque	H	-1.985274	43.322277
66	Kuskulo	S	-1.985289	43.322311
67	KIROLBET	W	-1.985373	43.322469
68	Heladeria Piccola Venezia	R	-1.985063	43.322339
69	Hogar Blanco	P	-1.985151	43.322386
70	TRIANGOLO by SAPORE DI PIZZA	P	-1.985102	43.32241
71	POLLITENA	R	-1.985119	43.322455
72	D´Piel	P	-1.985144	43.322516
73	Garagar	R	-1.984946	43.322383
74	Reloj Berri	R	-1.984771	43.322436
75	Gelatería Boulevard	R	-1.984689	43.322431
76	Pub Donosti Gin Club	R	-1.984786	43.3226
77	Pension Alameda	H	-1.98452	43.322494
78	LABORAL Kutxa	W	-1.984436	43.322432
79	smöoy	R	-1.984326	43.322441
80	ALE-HOP	P	-1.984196	43.322507
81	Va Bene	R	-1.984263	43.322453
82	Loco Polo	R	-1.984002	43.322522
83	Donostiarra Taska	R	-1.984473	43.322682
84	Restaurante Kostera	R	-1.98435	43.322711
85	PENSION NARRIKA	H	-1.984072	43.322714
86	Todo moviles	P	-1.984054	43.322763
87	Gelatería Boulevard	R	-1.983889	43.322566
88	Banco Sabadell Guipuzcoano	W	-1.983854	43.322627
89	San Sebastian Turismo	W	-1.983396	43.322706
90	Pensión Bule	H	-1.983469	43.322782
91	Muxu Y Chocolate S L	R	-1.983324	43.322715
92	Kutxabank	W	-1.983022	43.322788
93	Sotos Nicolás José Alberto	P	-1.982975	43.32291
94	McDonald's	R	-1.982687	43.3229
95	Forum Sport La Bretxa	P	-1.982435	43.322968
96	MINISO	P	-1.982874	43.323045
97	Sicos	P	-1.98222	43.323014
98	Arenal Perfumerías	P	-1.982303	43.323124
99	La Bretxa mercado local	P	-1.982441	43.323115
100	Coffee Break Donosti	R	-1.982692	43.323404
101	Mercado de la Bretxa	S	-1.982885	43.32378
102	Talaia HT	H	-1.983568	43.324383
103	Tiriki Tauki	W	-1.983202	43.324427
104	Ensantxe	R	-1.983414	43.324492
105	GOÑI ardoteka	P	-1.98325	43.324548
106	Supermercado Fruteria El Espigón	S	-1.983037	43.323092
107	Donostidog	R	-1.983108	43.323078
108	CHARCUTERÍA YOLANDA	S	-1.983065	43.323156
109	Mayoz Sáez Protésicos	P	-1.983214	43.323157
110	Go Local Tours San Sebastian	W	-1.983212	43.323057
111	Polka San Sebastián	R	-1.983314	43.323037
112	Calzados Garikano	P	-1.983413	43.323
113	Bikondo Joyeros	P	-1.983505	43.32299
114	Ponpoxita	P	-1.983733	43.323104
115	Cestería Iriondo	P	-1.983814	43.323068
116	Apuestas Deportivas RETAbet Sarriegi	P	-1.983867	43.322892
