0	ITSC1	N	-2.6743645499456	42.8434439214972	0	0	0
1	ITSC2	N	-2.6743414576352	42.8442171271334	0	0	0
2	ITSC3	N	-2.67428757557758	42.8452330030404	0	0	0
3	ITSC4	N	-2.67375645243824	42.8462601494728 	0	0	0
4	ITSC5	N	-2.67230933431946	42.8460005426466	0	0	0
5	ITSC6	N	-2.67082372901667	42.8458989570698	0	0	0
6	ITSC7	N	-2.66969990324358	42.8449282420224	0	0	0
7	ITSC8	N	-2.66993852378444	42.8438164159314	0	0	0
8	ITSC9	N	-2.67004628789967	42.8433310439525	0	0	0
9	ITSC10	N	-2.67113932392555	42.8429924100809	0	0	0
10	ITSC11	N	-2.67202452915779	42.8430940004373	0	0	0
11	ITSC12	N	-2.67251716511312	42.8431955906266	0	0	0
12	ITSC13	N	-2.67211689839941	42.8437769090524	0	0	0
13	ITSC14	N	-2.6724401907451	42.844042169041	0	0	0
14	ITSC15	N	-2.67231703175626	42.8449395294943	0	0	0
15	ITSC16	N	-2.6728404574588	42.8450185417401	0	0	0
16	ITSC17	N	-2.6728404574588	42.8454587509734	0	0	0
17	ITSC18	N	-2.67097767775271	42.8448040796951	0	0	0
18	ITSC19	N	-2.67106234955753	42.8446347670285	0	0	0
19	ITSC20	N	-2.67171083936451	42.8459486634778	0	0	0
20	Gasteizko udaletxea	W	-2.672356	42.846794
21	Bar Deportivo Alavés	R	-2.67281	42.846703
22	Victoria Café	R	-2.672843	42.846597
23	Vitoria-Gasteiz Tourist Información Center	W	-2.672119	42.846742
24	Cuchillería Ferreiro	P	-2.671764	42.846751
25	La Unión-BÝRA	R	-2.671973	42.846628
26	La Vecina	R	-2.671907	42.846474
27	La Crème	R	-2.672036	42.846388
28	ABANCA	W	-2.671939	42.846108
29	For	P	-2.672076	42.846015
30	Café Plaza	R	-2.672256	42.846138
31	Mistura Cafe	R	-2.6723	42.846059
32	Tienda de fotografía FotoPrix Postas	P	-2.672625	42.846107
33	Clarks Vitoria Postas	P	-2.672692	42.846104
34	Que Caña	R	-2.672928	42.846207
35	La Ferre	R	-2.673	42.846213
36	Mendia Optika	P	-2.672992	42.84645
37	Cafés La Brasileña	S	-2.67367	42.846074
38	Regalos "Guereñu"	P	-2.673845	42.845904
39	MALLORY CAFÉ	R	-2.673878	42.845813
40	Halcón Viajes	W	-2.673607	42.845914
41	Farmazia	P	-2.673474	42.846061
42	Pink De Virgen Blanca	P	-2.673379	42.846051
43	Kutxabank	W	-2.673195	42.845962
44	Yániz Abogados Vitoria	W	-2.67291	42.846
45	Medical Óptica Audición Postas	P	-2.672912	42.845962
46	AÑUA · VIRGEN BLANCA · Centro 1	W	-2.67288	42.845901
47	Tienda Orange	P	-2.672925	42.845805
48	Restaurante "Aldama" 1885	R	-2.672511	42.845928
49	Parfois	P	-2.672541	42.845915
50	MISAKO Dato	P	-2.672571	42.845831
51	Calzados Elcid	P	-2.672469	42.845826
52	Viajes Rigodón	W	-2.672494	42.845657
53	CaixaBank Store	W	-2.67247	42.845503
54	Krack Vitoria	P	-2.67254	42.845334
55	Vodafone	P	-2.67256	42.845159
56	Dormity Vitoria - Dato	P	-2.67259	42.845153
57	KUBIK Vitoria	R	-2.672872	42.845135
58	LANGARICA ILUMINACIÓN	P	-2.673231	42.845212
59	WILCO	P	-2.673348	42.845208
60	Xtreme	P	-2.673407	42.845211
61	Modas "Dubla"	P	-2.673635	42.845255
62	Baskonia Alavés Experience Store	P	-2.673972	42.845341
63	San Antonio komentua	W	-2.674003	42.845542
64	Pescados Puri Vara	S	-2.674319	42.845921
65	Bar Txapela	R	-2.674386	42.845915
66	La Puri	P	-2.674249	42.845812
67	Tienda Yoigo	P	-2.67422	42.845722
68	Lataskadelwaska	R	-2.674528	42.84588
69	Rasel Peluquería	W	-2.674707	42.845814
70	Arartekoa	W	-2.674862	42.845786
71	Maraiz Etxea 2	P	-2.675275	42.84571
72	Pub O'connors	R	-2.675404	42.845661
73	Seguros Ocaso	W	-2.675226	42.845638
74	Bloucher	P	-2.675262	42.845588
75	"Di Breda" izozkiak	R	-2.674381	42.845529
76	Modas "Emilio Ruiz - Gl4 Fashion"	P	-2.674325	42.845572
77	Peluquería Farah Estilistas	W	-2.674229	42.845669
78	Tienda Yoigo	P	-2.67422	42.845723
79	Oficina Banco Santander	W	-2.672192	42.84583
80	Barbour Vitoria	P	-2.672212	42.845756
81	L'OCCITANE EN PROVENCE	P	-2.672194	42.845707
82	El Ganso	P	-2.67218	42.845622
83	Cafeteria Dato 5	R	-2.672244	42.845566
84	Iberdrola Clientes	W	-2.672181	42.845459
85	Cafés Eguía	S	-2.672222	42.845368
86	General Optica	P	-2.672164	42.845318
87	Yaisu Sneakers	P	-2.672196	42.84507
88	LA SALUD PODOLOGÍA	W	-2.671972	42.845035
89	Fotocopias Itaca	P	-2.671913	42.845126
90	Hotel Centro Vitoria	H	-2.671356	42.845083
91	La Casa de las Carcasas	P	-2.671367	42.844983
92	Druni Perfumerías	P	-2.671169	42.844959
93	Notaría Ramos - López de Heredia	W	-2.671018	42.844945
94	Bankia	W	-2.670947	42.844998
95	Springfield - SPF Man & Woman	P	-2.671087	42.844956
96	Banco Sabadell Guipuzcoano	W	-2.670774	42.844936
97	SEPHORA VITORIA	P	-2.67065	42.844926
98	BIMBA Y LOLA	P	-2.670408	42.844909
99	ASESORÍA OCHOA DE ASPURU	W	-2.670259	42.844954
100	Tezenis	P	-2.670244	42.845017
101	Sucursal para mediadores Allianz Seguros	W	-2.670026	42.84509
102	minimil	P	-2.670223	42.845147
103	Engel & Völkers	W	-2.670201	42.845181
104	Perfumería Ibarrondo	P	-2.670203	42.845226
105	SKFK	P	-2.670259	42.84523
106	Clínica Dental Dr. Manuel Yanguas	P	-2.670299	42.845217
107	Harria Restaurante	R	-2.670303	42.845302
108	Fueros	R	-2.670417	42.845377
109	Pink Fueros	S	-2.670466	42.845399
110	Wonders	R	-2.670632	42.84553
111	Calzados Orlando	P	-2.670736	42.845617
112	estanco en C	P	-2.670881	42.845661
113	Anny 2	P	-2.671002	42.845718
114	Lotería Nº 1 Vitoria	P	-2.671106	42.845765
115	Farmazia	P	-2.671058	42.845836
116	La Teresa	R	-2.671245	42.845751
117	Top Top Vitoria	P	-2.671327	42.845838
118	PACOMARTINEZ	P	-2.671353	42.845812
119	So Wood	R	-2.671534	42.845873
120	Flying Tiger Copenhagen	P	-2.671567	42.845877
121	bubbles	R	-2.671691	42.845887
122	Galerias Itaca	P	-2.671746	42.845882
123	Caronte Web Studio	W	-2.671887	42.845898
124	Calzedonia	P	-2.672092	42.844863
125	Deutsche Bank	W	-2.671809	42.844849
126	Rituals	P	-2.671849	42.844853
127	ULANKA	P	-2.671393	42.844816
128	Desigual	P	-2.671319	42.844812
129	Farmacia Lda. Adela Deleuze Jiménez	P	-2.671201	42.844703
130	JACK & JONES	P	-2.671003	42.844781
131	MásVisión Vitoria	P	-2.670618	42.844758
132	Lashes & Go Vitoria	W	-2.670319	42.844668
133	Clínica Dental María Teresa Urraca	P	-2.67029	42.844732
134	Joyerías Siglo XXI	P	-2.670141	42.84473
135	Decathlon City Vitoria	P	-2.670029	42.844693
136	Claire's	P	-2.66993	42.844731
137	Ibercaja Banco	W	-2.669918	42.844517
138	Generación X Vitoria	P	-2.66996	42.84436
139	Juguettos	P	-2.669981	42.84433
140	Ciudadella	P	-2.670015	42.844141
141	Bertiz okindegia	R	-2.670005	42.843946
142	Domingo Lafuente Gutiérrez	P	-2.670197	42.84395
143	CaixaBank Empresa	W	-2.670109	42.843929
144	Bar Krunch	R	-2.670354	42.843963
145	Peluquería María Abad	W	-2.670321	42.844135
146	Teatro Principal Antzokia	W	-2.670712	42.844036
147	Think English Vitoria	W	-2.670877	42.844056
148	Peluquería Pelusas	W	-2.670969	42.844058
149	Solo en Casa	P	-2.670926	42.844159
