datetime;bike_count;bike_total_distance;van_count;van_total_distance
2024_03_18_11_49_12_1710758952;17;39587;2;14040
2024_03_18_11_49_12_1710758952;18;44366;2;16054
2024_03_18_11_49_12_1710758952;18;41443;2;15608
2024_03_18_11_49_13_1710758953;16;40675;2;16350
2024_03_18_11_49_14_1710758954;19;44244;2;15918
2024_03_18_11_49_14_1710758954;19;42419;2;15076
2024_03_18_11_49_15_1710758955;17;40499;2;16595
2024_03_18_11_49_15_1710758955;17;42832;2;15638
2024_03_18_11_49_15_1710758955;17;39496;2;13454
2024_03_18_11_49_16_1710758956;16;38436;2;15488
2024_03_18_11_49_16_1710758956;16;38344;2;14836
2024_03_18_11_49_16_1710758956;19;41583;2;15493
2024_03_18_11_49_17_1710758957;19;46522;2;16660
2024_03_18_11_49_17_1710758957;18;43667;2;15426
2024_03_18_11_49_17_1710758957;18;42657;2;15000
2024_03_18_11_49_18_1710758958;19;46046;2;17190
2024_03_18_11_49_18_1710758958;18;41074;2;16392
2024_03_18_11_49_19_1710758959;18;40768;2;16862
2024_03_18_11_49_19_1710758959;20;42586;3;16077
2024_03_18_11_49_19_1710758959;20;47237;3;18351
2024_03_18_11_52_32_1710759152;17;38378;2;13722
2024_03_18_11_52_32_1710759152;19;41909;2;15885
2024_03_18_11_52_33_1710759153;19;42615;2;17062
2024_03_18_11_52_34_1710759154;21;47039;3;17523
2024_03_18_11_52_34_1710759154;19;35779;2;14450
2024_03_18_11_52_34_1710759154;19;41782;2;18014
2024_03_18_11_52_35_1710759155;17;39355;2;16355
2024_03_18_11_52_36_1710759156;16;36744;2;15222
2024_03_18_11_52_36_1710759156;17;38279;2;16985
2024_03_18_11_52_37_1710759157;19;46228;2;17505
2024_03_18_11_52_37_1710759157;19;39794;2;16987
2024_03_18_11_52_38_1710759158;18;39255;2;16451
2024_03_18_11_52_38_1710759158;18;40724;2;17589
2024_03_18_11_52_38_1710759158;19;43768;2;16575
2024_03_18_11_52_39_1710759159;18;39509;2;15763
2024_03_18_11_52_39_1710759159;20;40609;3;15046
2024_03_18_11_52_40_1710759160;20;41240;3;17040
2024_03_18_11_55_53_1710759353;17;38500;2;13888
2024_03_18_11_55_54_1710759354;19;42147;2;15229
2024_03_18_11_55_54_1710759354;18;38001;2;14970
2024_03_18_11_55_55_1710759355;21;45531;3;16083
2024_03_18_11_55_55_1710759355;19;41936;2;17008
2024_03_18_11_55_56_1710759356;19;45145;2;18688
2024_03_18_11_55_56_1710759356;19;45552;2;16988
2024_03_18_11_55_56_1710759356;19;43371;2;16466
2024_03_18_11_55_57_1710759357;19;39239;2;14906
2024_03_18_11_55_57_1710759357;18;41600;2;16415
2024_03_18_11_55_58_1710759358;19;40735;2;15294
2024_03_18_11_55_58_1710759358;18;37646;2;16539
2024_03_18_11_55_59_1710759359;20;43700;3;17042
2024_03_18_11_55_59_1710759359;19;38428;2;16182
2024_03_18_11_55_59_1710759359;18;40439;2;14829
2024_03_18_11_56_00_1710759360;20;41066;3;17219
2024_03_18_11_59_13_1710759553;19;40888;2;16153
2024_03_18_11_59_14_1710759554;17;36689;2;14208
2024_03_18_11_59_15_1710759555;18;41630;2;16166
2024_03_18_11_59_16_1710759556;19;42033;2;14370
2024_03_18_11_59_16_1710759556;19;38615;2;14839
2024_03_18_11_59_17_1710759557;21;41536;3;16533
2024_03_18_11_59_17_1710759557;18;44140;2;17647
2024_03_18_11_59_17_1710759557;19;38599;2;15690
2024_03_18_11_59_18_1710759558;19;41859;2;17326
2024_03_18_11_59_19_1710759559;19;42367;2;15445
2024_03_18_11_59_19_1710759559;18;42929;2;16454
2024_03_18_11_59_20_1710759560;19;43930;2;15595
2024_03_18_11_59_20_1710759560;20;43009;3;17881
2024_03_18_11_59_21_1710759561;18;41223;2;16910
2024_03_18_11_59_21_1710759561;19;42174;2;17366
2024_03_18_11_59_21_1710759561;20;44928;3;19014
2024_03_18_12_02_35_1710759755;19;42038;2;14634
2024_03_18_12_02_35_1710759755;19;42640;2;16125
2024_03_18_12_02_36_1710759756;19;43523;2;14687
2024_03_18_12_02_37_1710759757;19;41017;2;16486
2024_03_18_12_02_38_1710759758;18;38636;2;15390
2024_03_18_12_02_38_1710759758;19;43459;2;15706
2024_03_18_12_02_39_1710759759;21;43059;3;15765
2024_03_18_12_02_40_1710759760;19;40130;2;16007
2024_03_18_12_02_40_1710759760;19;41236;2;16552
2024_03_18_12_02_41_1710759761;18;38956;2;14447
2024_03_18_12_02_41_1710759761;19;43677;2;16848
2024_03_18_12_02_41_1710759761;20;43361;3;17379
2024_03_18_12_02_43_1710759763;20;44748;3;17946
2024_03_18_12_02_43_1710759763;19;43018;2;17834
2024_03_18_12_05_54_1710759954;21;47686;3;19637
2024_03_18_12_05_56_1710759956;19;41517;2;15846
