datetime;bike_count;bike_total_distance;van_count;van_total_distance
2024_03_18_13_24_22_1710764662;19;44720;2;17374
2024_03_18_13_24_23_1710764663;18;40111;2;16039
2024_03_18_13_24_23_1710764663;19;44324;2;17914
2024_03_18_13_24_24_1710764664;18;39324;2;16193
2024_03_18_13_24_25_1710764665;17;39201;2;15322
2024_03_18_13_24_26_1710764666;16;40292;2;15023
2024_03_18_13_24_27_1710764667;18;41542;2;16168
2024_03_18_13_24_27_1710764667;19;40948;2;16353
2024_03_18_13_24_28_1710764668;17;36267;2;15986
2024_03_18_13_24_28_1710764668;17;39324;2;15563
2024_03_18_13_24_28_1710764668;16;36683;2;15232
2024_03_18_13_24_29_1710764669;17;40427;2;14960
2024_03_18_13_24_30_1710764670;17;40658;2;17024
2024_03_18_13_24_30_1710764670;18;40085;2;15318
2024_03_18_13_24_31_1710764671;19;44866;2;17113
2024_03_18_13_24_31_1710764671;20;47004;3;18655
2024_03_18_13_24_32_1710764672;17;41413;2;16551
2024_03_18_13_24_33_1710764673;18;40341;2;15677
2024_03_18_13_24_33_1710764673;19;42670;2;15582
2024_03_18_13_24_34_1710764674;18;40696;2;14349
2024_03_18_13_24_35_1710764675;19;46719;2;17823
2024_03_18_13_24_35_1710764675;20;45128;3;20097
2024_03_18_13_31_02_1710765062;19;42713;2;17258
2024_03_18_13_31_03_1710765063;19;42215;2;16021
2024_03_18_13_31_04_1710765064;19;43362;2;15295
2024_03_18_13_31_04_1710765064;18;42034;2;14864
2024_03_18_13_31_05_1710765065;18;38872;2;16103
2024_03_18_13_31_06_1710765066;17;38201;2;16158
2024_03_18_13_31_07_1710765067;19;41141;2;13996
2024_03_18_13_31_07_1710765067;18;41806;2;16408
2024_03_18_13_31_09_1710765069;19;44387;2;14668
2024_03_18_13_31_09_1710765069;18;38493;2;15546
2024_03_18_13_31_10_1710765070;19;39381;2;14406
2024_03_18_13_31_11_1710765071;20;43023;3;16575
2024_03_18_13_31_11_1710765071;18;39296;2;14742
2024_03_18_13_31_12_1710765072;19;40417;2;15152
2024_03_18_13_31_12_1710765072;19;38862;2;16384
2024_03_18_13_31_13_1710765073;20;40924;3;17073
2024_03_18_13_37_44_1710765464;19;42108;2;17643
2024_03_18_13_37_45_1710765465;19;39544;2;15295
2024_03_18_13_37_45_1710765465;18;41811;2;16909
2024_03_18_13_37_46_1710765466;19;38698;2;15789
2024_03_18_13_37_47_1710765467;18;44257;2;17021
2024_03_18_13_37_48_1710765468;19;32717;2;14041
2024_03_18_13_37_49_1710765469;17;38525;2;14231
2024_03_18_13_37_49_1710765469;19;41562;2;16273
2024_03_18_13_37_50_1710765470;18;38328;2;15825
2024_03_18_13_37_51_1710765471;18;39487;2;16156
2024_03_18_13_37_52_1710765472;18;40994;2;15611
2024_03_18_13_37_52_1710765472;20;39965;3;15444
2024_03_18_13_37_53_1710765473;18;40614;2;14614
2024_03_18_13_37_54_1710765474;19;42685;2;15485
2024_03_18_13_37_54_1710765474;20;41933;3;18161
2024_03_18_13_44_25_1710765865;19;41636;2;15831
2024_03_18_13_44_26_1710765866;19;44078;2;16859
